Country,All,White,Red & Rose
Belgium,10.3,8.5,1.8
Bulgaria,1568,722,846
Czech Republic,783,495,288
Denmark,:,:,:
Germany,8907,5448,3459
Estonia,:,:,:
Ireland,:,:,:
Greece,2501.1,1753.6,747.5
Spain,43284,21669.94,21614.06
France,47857,21982,25875
Croatia,992,717.91,274.09
Italy,50700,26118,24582
Cyprus,79.3,30.9,48.4
Latvia,:,:,:
Lithuania,:,:,:
Luxembourg,111,103,8
Hungary,:,:,:
Malta,:,:,:
Netherlands,:,:,:
Austria,2268.4,1468.7,799.7
Poland,:,:,:
Portugal,7045,:,:
Romania,:,:,:
Slovenia,823.102,568.876,254.226
Slovakia,342.96,222.84,120.12
Finland,:,:,:
Sweden,:,:,:
United Kingdom,38,32,6
Turkey,561.948,219.66,342.288
